grid_id,lat,lon
170249,22.51236913,113.9258424
170250,22.51246181,113.930697
170251,22.51255434,113.9355517
170252,22.51264672,113.9404064
170276,22.51482017,114.056926
171078,22.51660063,113.9111784
171079,22.51669376,113.9160331
171080,22.51678675,113.9208878
171081,22.5168796,113.9257426
171083,22.51706485,113.9354522
171084,22.51715725,113.940307
171106,22.51915323,114.0471196
171109,22.51941993,114.0616859
171912,22.5212972,113.9207878
171913,22.52139006,113.9256427
171914,22.52148278,113.9304977
171915,22.52157535,113.9353526
171916,22.52166778,113.9402076
171936,22.52348562,114.0373126
171938,22.5236642,114.0470237
171941,22.52393096,114.0615904
171942,22.52401958,114.0664461
171943,22.52410807,114.0713017
172743,22.5257146,113.9158327
172769,22.52808593,114.042072
172770,22.52817516,114.0469277
172771,22.52826425,114.0517834
172772,22.52835319,114.0566392
172773,22.52844198,114.0614949
172774,22.52853063,114.0663507
172775,22.52861913,114.0712065
173574,22.53013182,113.9108773
173577,22.53041098,113.9254429
173578,22.53050374,113.9302982
173579,22.53059635,113.9351534
173580,22.53068882,113.9400087
173584,22.53105722,113.9594302
173587,22.53133199,113.9739966
174408,22.5348285,113.9204876
174411,22.53510684,113.9350538
174413,22.53529167,113.9447648
174419,22.53584265,113.9738982
174425,22.53638837,114.0030325
174433,22.53710781,114.0418797
174435,22.53728621,114.0515917
174436,22.53737518,114.0564478
174437,22.53746402,114.0613039
174439,22.53764125,114.0710161
174440,22.53772964,114.0758723
175240,22.53933893,113.9203875
175241,22.53943188,113.925243
175245,22.53980221,113.9446654
175255,22.54071778,113.9932232
175262,22.54134999,114.0272152
175263,22.54143972,114.0320713
175271,22.5421523,114.0709209
175273,22.54232898,114.0806335
175274,22.5424171,114.0854899
175276,22.54259291,114.0952027
175278,22.54276813,114.1049155
175279,22.54285552,114.109772
175280,22.54294276,114.1146285
175281,22.54302986,114.1194851
176071,22.54375625,113.9154316
176072,22.54384936,113.9202873
176073,22.54394233,113.925143
176074,22.54403515,113.9299987
176078,22.54440497,113.9494219
176085,22.54504653,113.9834134
176091,22.54559074,114.0125499
176092,22.54568093,114.0174061
176093,22.54577097,114.0222623
176094,22.54586086,114.0271185
176095,22.54595061,114.0319747
176104,22.54675178,114.0756821
176106,22.54692821,114.0853951
176107,22.54701621,114.0902516
176112,22.54745399,114.1145347
176904,22.54835979,113.9201871
176905,22.54845277,113.925043
176907,22.54863831,113.9347548
176910,22.54891552,113.9493226
176912,22.54909959,113.9590347
176930,22.55072994,114.0464475
176931,22.55081912,114.051304
176932,22.55090816,114.0561606
176933,22.55099705,114.0610171
176935,22.5511744,114.0707303
176936,22.55126285,114.0755869
176939,22.55152733,114.0901569
176940,22.5516152,114.0950137
176941,22.55170292,114.0998704
176943,22.55187793,114.109584
176944,22.55196521,114.1144408
176948,22.55231288,114.1338683
176969,22.55409971,114.2358689
177729,22.55221505,113.8860956
177743,22.55351819,113.9540796
177744,22.55361018,113.9589357
177745,22.55370202,113.963792
177747,22.55388526,113.9735045
177748,22.55397665,113.9783608
177762,22.55524088,114.0463514
177768,22.55577392,114.0754918
177771,22.55603846,114.0900623
177772,22.55612634,114.0949191
177773,22.55621409,114.099776
177774,22.55630168,114.104633
177776,22.55647643,114.1143469
177777,22.55656359,114.1192039
177778,22.5566506,114.1240609
177779,22.55673746,114.128918
177782,22.55699717,114.1434893
